,ode,pde,ab,sto,stat
Adeno-associated virus,0,0,0,0,0
Adenovirus,19,2,1,3,3
Adenovirus type 5,1,0,0,0,0
African horsesickness virus,0,0,0,0,0
African swine fever virus,2,0,0,0,1
Ascovirus,0,0,0,0,0
Autographa californica nucleopolyhedrovirus,1,0,0,0,1
Avian influenza virus,10,0,0,0,0
Bacteriophages,26,0,3,0,0
Baculovirus,26,0,0,2,10
Bahia bark scaling of citrus virus,0,0,0,0,0
Barley yellow dwarf virus,4,0,0,0,0
Bluetongue virus,5,0,0,0,0
Bovine respiratory syncytial virus,0,0,0,0,0
Bovine viral diarrhea virus,1,0,0,1,2
Broad bean mottle virus,0,0,0,0,0
Brown ring disease virus,0,0,0,0,0
CTXφ,5,0,0,0,0
Canine distemper virus,4,0,0,0,0
Capsicum mild mottle virus,0,0,0,0,0
Cauliflower mosaic virus,0,0,0,0,0
Chikungunya virus,59,1,0,10,0
Clover yellow vein virus,0,0,0,0,0
Cucumber mosaic virus,0,0,0,0,0
Cytomegalovirus,33,0,0,0,2
Dengue virus,399,22,6,29,51
Dermo virus,0,0,0,0,0
Eastern equine encephalitis virus,1,0,0,0,0
Ebola virus,35,2,0,1,4
Epstein-Barr virus,31,0,2,0,0
Equine encephalitis virus,3,0,0,0,0
Equine infectious anemia virus,19,0,0,0,0
Equine influenza virus,3,0,0,0,0
Foot-and-mouth disease virus,30,0,1,2,2
Hantaan virus,1,0,0,0,1
Hantavirus,1,0,0,0,0
Helicoverpa zea S nucleopolyhedrovirus,1,0,0,0,0
Hendra virus,3,0,0,0,2
Hepatitis A virus,6,1,0,0,0
Hepatitis B virus,316,23,2,19,3
Hepatitis C virus,213,43,6,11,4
Hepatitis D virus,3,0,0,1,0
Herpes simplex virus,18,0,1,1,0
Human T-cell lymphotropic virus,200,19,0,0,0
Human bocavirus,2,0,0,1,0
Human coronavirus,0,0,0,0,1
Human enterovirus,4,0,0,1,0
Human herpesvirus 6,0,0,0,0,1
Human herpesvirus 7,0,0,0,0,0
Human immunodeficiency virus,1649,76,12,47,78
Human metapneumovirus,2,0,0,1,3
Human rhinovirus,5,0,0,1,0
Hypoviruses,1,0,1,0,0
Influenza A virus,249,2,8,15,8
Influenza B virus,3,0,0,1,2
Iridovirus,0,0,0,0,0
Japanese encephalitis virus,1,0,0,0,0
Junin arenavirus,0,0,0,0,0
Kyasanur Forest disease virus,0,0,0,0,0
Lassa virus,2,0,0,0,2
Lymantria dispar multiple nucleopolyhedrovirus,2,0,0,0,0
Lymphocytic choriomeningitis virus,12,0,0,0,0
Lytic phages,0,0,0,0,0
MERS-CoV,11,0,1,0,1
MSX virus,0,0,0,0,0
Marburg virus,2,2,0,0,0
Marek's disease virus,7,0,1,0,5
Measles virus,31,1,1,0,1
Morogoro virus,0,0,0,0,0
Mouse hepatitis virus,0,0,0,0,0
Murine cytomegalovirus,0,0,0,0,0
Murine leukemia virus,0,0,0,0,0
Murray Valley encephalitis virus,4,0,0,0,0
Myoviruses,0,0,0,0,0
Nipah virus,3,0,0,1,0
Norovirus,2,0,0,0,0
Nuclear polyhedrosis virus,2,0,0,0,0
Obuda mosaic virus,0,0,0,0,0
Ostreid herpesvirus 1,8,0,0,0,0
Ostreococcus tauri virus 1,0,0,0,0,0
Palyam virus,0,0,0,0,0
Parainfluenza virus,4,0,0,0,0
Pepper mild green mosaic virus,1,0,0,0,0
Pepper mild mottle virus,1,0,0,0,2
Phage PR,2,0,0,0,0
Phage PS,3,0,0,0,0
